participant_id,trial_number,attempt_number,distribution_type,ball_weight,ball_mu,ball_sigma,ball_in_box
211,1,7,wide_low,0.24731592328880148,0.22,0.06,False
211,1,8,narrow_low,0.2518242707736396,0.22,0.02,False
211,1,9,wide_high,0.39728498218704367,0.3,0.06,False
211,1,10,narrow_high,0.2940043112568142,0.3,0.02,False
211,1,11,wide_low,0.12278281149187456,0.22,0.06,False
211,1,12,wide_low,0.22328733105872114,0.22,0.06,True
211,1,13,wide_high,0.15626950684795687,0.3,0.06,True
211,2,1,narrow_low,0.24523699432005938,0.22,0.02,True
211,2,2,narrow_high,0.27725678100812173,0.3,0.02,True
211,2,3,wide_high,0.2963793631676713,0.3,0.06,True
211,2,4,wide_high,0.3182247732259551,0.3,0.06,False
211,2,5,narrow_high,0.32481433965435763,0.3,0.02,False
211,2,6,wide_high,0.36596610797291945,0.3,0.06,False
211,2,7,narrow_high,0.28244058737396766,0.3,0.02,False
211,2,8,narrow_low,0.20792749034143776,0.22,0.02,False
211,2,9,narrow_low,0.21137111446511186,0.22,0.02,True
211,2,10,wide_low,0.2153141526656974,0.22,0.06,True
211,2,11,wide_low,0.27067550482915875,0.22,0.06,False
211,2,12,wide_low,0.25481018732918426,0.22,0.06,True
211,2,13,wide_high,0.284665969909007,0.3,0.06,True
211,2,14,narrow_high,0.3002284904303142,0.3,0.02,True
211,2,15,narrow_low,0.20491792603474696,0.22,0.02,False
211,2,16,wide_low,0.14732124908858488,0.22,0.06,True
211,3,1,narrow_low,0.21756877002938377,0.22,0.02,True
211,3,2,wide_low,0.17393977215925738,0.22,0.06,True
211,3,3,narrow_high,0.3443742940417745,0.3,0.02,False
211,3,4,wide_low,0.3942930166531049,0.22,0.06,False
211,3,5,wide_high,0.4468206274424397,0.3,0.06,False
211,3,6,wide_high,0.33417214324100925,0.3,0.06,False
211,3,7,narrow_high,0.30728223437920743,0.3,0.02,True
211,3,8,wide_low,0.26509789919249815,0.22,0.06,True
211,3,9,wide_high,0.31243796779155736,0.3,0.06,False
211,3,10,narrow_low,0.200391621878233,0.22,0.02,False
211,3,11,narrow_high,0.2917894386039222,0.3,0.02,True
211,3,12,narrow_low,0.17153927564723753,0.22,0.02,True
211,3,13,narrow_low,0.1982948865811381,0.22,0.02,False
211,3,14,wide_low,0.19326362243030645,0.22,0.06,False
211,3,15,narrow_high,0.3038973719280408,0.3,0.02,True
211,4,1,narrow_high,0.3165861455544689,0.3,0.02,False
211,4,2,narrow_low,0.215193591253982,0.22,0.02,True
211,4,3,wide_low,0.20254331853248134,0.22,0.06,True
211,4,4,wide_low,0.31053382678996727,0.22,0.06,False
211,4,5,wide_high,0.3509896731969642,0.3,0.06,False
211,4,6,narrow_low,0.22704482440696386,0.22,0.02,True
211,4,7,narrow_low,0.23761546449752907,0.22,0.02,True
211,4,8,narrow_low,0.21440429967117292,0.22,0.02,True
211,4,9,wide_low,0.21002642889712117,0.22,0.06,True
211,4,10,wide_low,0.23136673633245358,0.22,0.06,True
211,4,11,wide_high,0.32777403901910523,0.3,0.06,False
211,4,12,wide_high,0.25655774048625846,0.3,0.06,True
211,4,13,narrow_high,0.3105502990260777,0.3,0.02,True
211,4,14,narrow_high,0.3283514552486284,0.3,0.02,False
211,4,15,narrow_high,0.31025935427146356,0.3,0.02,False
211,4,16,wide_high,0.22601370546440486,0.3,0.06,True
211,5,1,wide_high,0.3016705828300241,0.3,0.06,True
211,5,2,wide_low,0.2825657248929177,0.22,0.06,True
211,5,3,narrow_high,0.28837618647218594,0.3,0.02,True
211,5,4,wide_low,0.2412635969457768,0.22,0.06,True
211,5,5,wide_low,0.1074704178537205,0.22,0.06,True
211,5,6,wide_high,0.2705130424451552,0.3,0.06,True
211,5,7,narrow_high,0.296361566076597,0.3,0.02,True
211,5,8,narrow_low,0.22768701765029173,0.22,0.02,False
211,5,9,wide_high,0.2464118358905413,0.3,0.06,True
211,5,10,narrow_low,0.19356830707774175,0.22,0.02,True
211,5,11,narrow_high,0.2595866626109558,0.3,0.02,False
211,5,12,wide_high,0.34651810857527543,0.3,0.06,False
211,5,13,narrow_low,0.22359657899409788,0.22,0.02,True
211,5,14,wide_low,0.18125808027201462,0.22,0.06,False
211,5,15,narrow_low,0.2530263617460029,0.22,0.02,False
211,5,16,narrow_high,0.3170385209144895,0.3,0.02,False
214,1,1,narrow_high,0.29795187157570235,0.3,0.02,True
214,1,2,wide_high,0.26463689624445663,0.3,0.06,True
214,1,3,narrow_low,0.23581426954580545,0.22,0.02,True
214,1,4,narrow_high,0.2672842358621341,0.3,0.02,True
214,1,5,wide_high,0.21833140304581006,0.3,0.06,True
214,1,6,wide_low,0.16744270101863984,0.22,0.06,True
214,1,7,wide_low,0.24731592328880148,0.22,0.06,True
214,1,8,narrow_low,0.2518242707736396,0.22,0.02,True
214,1,9,wide_high,0.39728498218704367,0.3,0.06,False
214,1,10,narrow_high,0.2940043112568142,0.3,0.02,True
214,1,11,wide_low,0.12278281149187456,0.22,0.06,False
214,1,12,wide_low,0.22328733105872114,0.22,0.06,True
214,1,13,wide_high,0.15626950684795687,0.3,0.06,False
214,1,14,narrow_high,0.2843654138324504,0.3,0.02,False
214,1,15,narrow_low,0.23175819344082726,0.22,0.02,False
214,1,16,narrow_low,0.22208967693304982,0.22,0.02,False
214,2,1,wide_low,0.2153141526656974,0.22,0.06,True
214,2,2,wide_low,0.14732124908858488,0.22,0.06,True
214,2,3,narrow_low,0.20491792603474696,0.22,0.02,True
214,2,4,wide_high,0.3182247732259551,0.3,0.06,False
214,2,5,narrow_high,0.27725678100812173,0.3,0.02,True
214,2,6,narrow_high,0.28244058737396766,0.3,0.02,True
214,2,7,narrow_low,0.20792749034143776,0.22,0.02,True
214,2,8,wide_high,0.2963793631676713,0.3,0.06,True
214,2,9,narrow_low,0.21137111446511186,0.22,0.02,True
214,2,10,narrow_high,0.3002284904303142,0.3,0.02,True
214,2,11,wide_low,0.27067550482915875,0.22,0.06,False
214,2,12,wide_high,0.284665969909007,0.3,0.06,True
214,2,13,wide_low,0.25481018732918426,0.22,0.06,False
214,2,14,narrow_low,0.24523699432005938,0.22,0.02,False
214,2,15,narrow_high,0.32481433965435763,0.3,0.02,False
214,2,16,wide_high,0.36596610797291945,0.3,0.06,False
214,3,1,narrow_low,0.17153927564723753,0.22,0.02,True
214,3,2,wide_high,0.33417214324100925,0.3,0.06,False
214,3,3,wide_low,0.17393977215925738,0.22,0.06,True
214,3,4,narrow_high,0.3443742940417745,0.3,0.02,False
214,3,5,narrow_low,0.200391621878233,0.22,0.02,True
214,3,6,wide_high,0.31243796779155736,0.3,0.06,False
214,3,7,wide_low,0.26509789919249815,0.22,0.06,True
214,3,8,wide_high,0.2909625129208806,0.3,0.06,True
214,3,9,wide_low,0.19326362243030645,0.22,0.06,True
214,3,10,wide_low,0.3942930166531049,0.22,0.06,False
214,3,11,narrow_high,0.30728223437920743,0.3,0.02,True
214,3,12,narrow_low,0.1982948865811381,0.22,0.02,True
214,3,13,wide_high,0.4468206274424397,0.3,0.06,False
214,3,14,narrow_high,0.2917894386039222,0.3,0.02,False
214,3,15,narrow_high,0.3038973719280408,0.3,0.02,True
214,3,16,narrow_low,0.21756877002938377,0.22,0.02,True
214,4,1,narrow_low,0.21440429967117292,0.22,0.02,True
214,4,2,wide_low,0.31053382678996727,0.22,0.06,False
214,4,3,narrow_high,0.3165861455544689,0.3,0.02,False
214,4,4,narrow_high,0.3283514552486284,0.3,0.02,False
214,4,5,wide_high,0.25655774048625846,0.3,0.06,True
214,4,6,wide_high,0.22601370546440486,0.3,0.06,True
214,4,7,narrow_high,0.31025935427146356,0.3,0.02,False
214,4,8,wide_high,0.32777403901910523,0.3,0.06,False
214,4,9,wide_high,0.3509896731969642,0.3,0.06,False
214,4,10,narrow_high,0.3105502990260777,0.3,0.02,True
214,4,11,narrow_low,0.22704482440696386,0.22,0.02,True
214,4,12,narrow_low,0.23761546449752907,0.22,0.02,True
214,4,13,wide_low,0.21002642889712117,0.22,0.06,False
214,4,14,wide_low,0.20254331853248134,0.22,0.06,True
214,4,15,narrow_low,0.215193591253982,0.22,0.02,True
214,4,16,wide_low,0.23136673633245358,0.22,0.06,True
214,5,1,narrow_high,0.2595866626109558,0.3,0.02,True
214,5,2,narrow_low,0.19356830707774175,0.22,0.02,False
214,5,3,narrow_low,0.22768701765029173,0.22,0.02,True
214,5,4,narrow_low,0.2530263617460029,0.22,0.02,True
214,5,5,wide_high,0.2705130424451552,0.3,0.06,True
214,5,6,wide_high,0.3016705828300241,0.3,0.06,False
214,5,7,narrow_high,0.296361566076597,0.3,0.02,True
214,5,8,narrow_high,0.28837618647218594,0.3,0.02,True
214,5,9,wide_low,0.18125808027201462,0.22,0.06,False
214,5,10,wide_high,0.34651810857527543,0.3,0.06,False
214,5,11,wide_low,0.2412635969457768,0.22,0.06,True
214,5,12,wide_high,0.2464118358905413,0.3,0.06,True
214,5,13,wide_low,0.1074704178537205,0.22,0.06,False
214,5,14,wide_low,0.2825657248929177,0.22,0.06,True
214,5,15,narrow_high,0.3170385209144895,0.3,0.02,False
214,5,16,narrow_low,0.22359657899409788,0.22,0.02,True
217,1,1,narrow_high,0.29795187157570235,0.3,0.02,False
217,1,2,wide_high,0.26463689624445663,0.3,0.06,False
217,1,3,narrow_low,0.23581426954580545,0.22,0.02,False
217,1,4,narrow_high,0.2672842358621341,0.3,0.02,False
217,1,5,wide_high,0.21833140304581006,0.3,0.06,True
217,1,6,wide_low,0.16744270101863984,0.22,0.06,True
217,1,7,wide_low,0.24731592328880148,0.22,0.06,False
217,1,8,narrow_low,0.2518242707736396,0.22,0.02,True
217,1,9,wide_high,0.39728498218704367,0.3,0.06,False
217,1,10,narrow_high,0.2940043112568142,0.3,0.02,True
217,1,11,wide_low,0.12278281149187456,0.22,0.06,True
217,1,12,wide_low,0.22328733105872114,0.22,0.06,True
217,1,13,wide_high,0.15626950684795687,0.3,0.06,False
217,1,14,narrow_high,0.2843654138324504,0.3,0.02,True
217,1,15,narrow_low,0.23175819344082726,0.22,0.02,False
217,2,1,wide_low,0.14732124908858488,0.22,0.06,True
217,2,2,narrow_high,0.3002284904303142,0.3,0.02,True
217,2,3,narrow_high,0.32481433965435763,0.3,0.02,False
217,2,4,wide_low,0.25481018732918426,0.22,0.06,True
217,2,5,wide_low,0.2153141526656974,0.22,0.06,True
217,2,6,wide_high,0.36596610797291945,0.3,0.06,False
217,2,7,wide_high,0.2963793631676713,0.3,0.06,False
217,2,8,wide_low,0.27067550482915875,0.22,0.06,True
217,2,9,narrow_low,0.20792749034143776,0.22,0.02,True
217,2,10,narrow_low,0.24523699432005938,0.22,0.02,True
217,2,11,narrow_low,0.20491792603474696,0.22,0.02,False
217,2,12,narrow_high,0.28244058737396766,0.3,0.02,False
